포지션,회사명,경력,합격보상,링크
[인턴] Influencer Marketing,넥스트챕터(NextChapter),신입 · 인턴,합격보상금 100만원,https://www.wanted.co.kr/wd/325953
[Yanolja NEXT] Lead Software Engineer - IAB,야놀자,경력 10년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/299397
"Global Online MD (Amazon, Shopee)",넥스트챕터(NextChapter),경력 1-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/325988
Brand Manager (Beauty & Personal Care),넥스트챕터(NextChapter),경력 3-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/325974
Brand Designer (Beauty & Personal Care),넥스트챕터(NextChapter),경력 3-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/325990
[인턴] Global Sales,넥스트챕터(NextChapter),신입 · 인턴,합격보상금 100만원,https://www.wanted.co.kr/wd/338442
[Yanolja NEXT] Software Engineer - IAB,야놀자,경력 4년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/299386
Global Marketing Manager (Beauty),넥스트챕터(NextChapter),경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/325987
[인턴] Influencer Marketing,넥스트챕터(NextChapter),신입 · 인턴,합격보상금 100만원,https://www.wanted.co.kr/wd/325953
[Yanolja NEXT] Lead Software Engineer - IAB,야놀자,경력 10년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/299397
"Global Online MD (Amazon, Shopee)",넥스트챕터(NextChapter),경력 1-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/325988
Brand Manager (Beauty & Personal Care),넥스트챕터(NextChapter),경력 3-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/325974
Brand Designer (Beauty & Personal Care),넥스트챕터(NextChapter),경력 3-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/325990
[인턴] Global Sales,넥스트챕터(NextChapter),신입 · 인턴,합격보상금 100만원,https://www.wanted.co.kr/wd/338442
[Yanolja NEXT] Software Engineer - IAB,야놀자,경력 4년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/299386
Global Marketing Manager (Beauty),넥스트챕터(NextChapter),경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/325987
Growth Marketer(Beauty and Personal Care),넥스트챕터(NextChapter),경력 1-5년,합격보상금 100만원,https://www.wanted.co.kr/wd/336814
Brand Designer (CPG),넥스트챕터(NextChapter),경력 3-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/325992
"온라인 MD / Channel Operation Manager (쿠팡, 컬리 등)",넥스트챕터(NextChapter),경력 1-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/325996
[인턴] Design,넥스트챕터(NextChapter),신입 · 인턴,합격보상금 100만원,https://www.wanted.co.kr/wd/325964
[Yanolja NEXT] Product Manager,야놀자,경력 8년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/301589
CX Innovation (AX) 매니저,넥스트챕터(NextChapter),경력 1-5년,합격보상금 100만원,https://www.wanted.co.kr/wd/331391
[Yanolja NEXT] Data Engineer,야놀자,경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/324106
Talent Acquisitions Manager (채용 담당자),넥스트챕터(NextChapter),경력 1년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/325999
Sales Manager (Domestic) / 국내 영업,넥스트챕터(NextChapter),경력 2-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/325965
React NextJS 프론트엔드 리드 개발자,스포츠프리즘,경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/347826
상품기획 MD (CPG),넥스트챕터(NextChapter),경력 2-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/341113
인플루언서 마케팅 매니저,넥스트챕터(NextChapter),경력 2-5년,합격보상금 100만원,https://www.wanted.co.kr/wd/344407
"Strategic Sourcing Manager (구매 관리 매니저, Beauty)",넥스트챕터(NextChapter),경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/336050
[인턴] Brand Manager Intern (CPG),넥스트챕터(NextChapter),신입 · 인턴,합격보상금 100만원,https://www.wanted.co.kr/wd/325961
프론트엔드 웹 개발자 React.js / Next.js (3~5년),클라우드호스피탈,경력 3-5년,합격보상금 100만원,https://www.wanted.co.kr/wd/207121
"프론트엔드 개발자(1년-5년, Next.js/React/Typescript)",유리프트,경력 1-5년,합격보상금 100만원,https://www.wanted.co.kr/wd/347074
[Yanolja NEXT] Software Engineer,야놀자,경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/301628
"프론트엔드 엔지니어 (React, Next.js)",에이티씨아이,신입-경력 4년,합격보상금 100만원,https://www.wanted.co.kr/wd/293447
Next.js 풀스택 개발자,루미크래프트,경력 2-12년,합격보상금 100만원,https://www.wanted.co.kr/wd/343317
"풀스택 개발자(1-5년, Next.js/React/Typescript)",유리프트,경력 1-5년,합격보상금 100만원,https://www.wanted.co.kr/wd/347076
[인턴] Next.js 풀스택 개발자,루미크래프트,신입 · 인턴,합격보상금 100만원,https://www.wanted.co.kr/wd/343318
Frontend Engineer (Next.js - Typescript),센트비(Sentbe),경력 3-5년,합격보상금 100만원,https://www.wanted.co.kr/wd/341285
콘텐츠 PD,넥스트챕터(NextChapter),경력 2-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/343694
Head of Finance,넥스트챕터(NextChapter),경력 7년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/344528
