포지션,회사명,경력,합격보상,링크
Python Backend Developer,크로스이엔에프,경력 10년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/238973
검색엔진 엔지니어 (3년 이상),워트인텔리전스,경력 3-15년,합격보상금 100만원,https://www.wanted.co.kr/wd/346502
파이썬 개발자 (3년 이상 7년 이하),우주프로퍼티매니지먼트,경력 3-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/345525
시니어 백엔드 엔지니어 (Python),엘리스,경력 7-14년,합격보상금 100만원,https://www.wanted.co.kr/wd/230306
솔루션 엔지니어팀 Lead,어니스트에이아이,경력 7-13년,합격보상금 100만원,https://www.wanted.co.kr/wd/338511
AI Engineer (5년이상),이오메모리,경력 5-12년,합격보상금 100만원,https://www.wanted.co.kr/wd/344348
MLOps 엔지니어(판교),와따에이아이,경력 5-11년,합격보상금 100만원,https://www.wanted.co.kr/wd/344290
빅데이터 솔루션 엔지니어 (3년 이상),로이드케이,경력 3-12년,합격보상금 100만원,https://www.wanted.co.kr/wd/314983
Python Backend Developer,크로스이엔에프,경력 10년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/238973
검색엔진 엔지니어 (3년 이상),워트인텔리전스,경력 3-15년,합격보상금 100만원,https://www.wanted.co.kr/wd/346502
파이썬 개발자 (3년 이상 7년 이하),우주프로퍼티매니지먼트,경력 3-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/345525
시니어 백엔드 엔지니어 (Python),엘리스,경력 7-14년,합격보상금 100만원,https://www.wanted.co.kr/wd/230306
솔루션 엔지니어팀 Lead,어니스트에이아이,경력 7-13년,합격보상금 100만원,https://www.wanted.co.kr/wd/338511
AI Engineer (5년이상),이오메모리,경력 5-12년,합격보상금 100만원,https://www.wanted.co.kr/wd/344348
MLOps 엔지니어(판교),와따에이아이,경력 5-11년,합격보상금 100만원,https://www.wanted.co.kr/wd/344290
빅데이터 솔루션 엔지니어 (3년 이상),로이드케이,경력 3-12년,합격보상금 100만원,https://www.wanted.co.kr/wd/314983
[AI반도체] NPU Core Engineer (RTL),모빌린트,신입,합격보상금 100만원,https://www.wanted.co.kr/wd/346955
AI Agent 백엔드 개발자 (3년 이상),골든플래닛,경력 3-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/345428
(전문연구요원 가능) ML Engineer/Researcher,에너자이(ENERZAi),신입,합격보상금 100만원,https://www.wanted.co.kr/wd/110126
클라우드 풀스택 엔지니어,엘리스,경력 3-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/330270
[NetsPresso] Edge AI SW Full Stack Engineer,노타(Nota),경력 3-8년,합격보상금 100만원,https://www.wanted.co.kr/wd/336755
Computer Vision Engineer(석사 이상),쓰리아이(3i corporation),경력 1년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/346308
Research Engineer (Multimodal AI),에스아이에이,신입-경력 20년,합격보상금 100만원,https://www.wanted.co.kr/wd/347345
AI Manipulation Engineer (전문연구요원 가능),플라잎,경력 3-8년,합격보상금 100만원,https://www.wanted.co.kr/wd/316002
AI 엔지니어,모빌리티네트웍스,경력 1-5년,합격보상금 100만원,https://www.wanted.co.kr/wd/346205
VISION AI 솔루션 Python 웹서비스 백엔드 개발(6년~10년),에이아이썸,경력 6-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/331570
데이터 사이언티스트(Data Scientist),크로스이엔에프,경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/344404
데이터사이언스,스냅컴퍼니,경력 3-8년,합격보상금 100만원,https://www.wanted.co.kr/wd/342237
엣지 디바이스용 영상 인식 솔루션 개발자 (5년 이상),스누아이랩,경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/321297
데이터 분석/가공 및 프로젝트 수행,나이스지니데이타,경력 2년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/346777
파이썬 개발자,뉴로다임,경력 5-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/335937
[전문연구요원 가능] 영상처리 개발자 (신입),메디인테크,신입,합격보상금 100만원,https://www.wanted.co.kr/wd/334853
AI서비스 Product Builder,나이스지니데이타,경력 3년 이상 · 계약직,합격보상금 20만원,https://www.wanted.co.kr/wd/339129
[웰다] LLM Engineer 3년 이상,대웅,경력 3-8년,합격보상금 100만원,https://www.wanted.co.kr/wd/337566
"Applied AI Scientist(Backend Developer, 3년 이상)",제네시스랩,경력 3-20년,합격보상금 100만원,https://www.wanted.co.kr/wd/336822
풀스택 개발자,인텔리어스,경력 3-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/347269
개발팀 Tech Innovation Working Group 백엔드 개발자,프리윌린,경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/345482
Sr. Deep Learning Algorithm Engineer,스트라드비젼(STRADVISION),경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/315756
백엔드 개발 담당자(전문연구요원 가능),지엔,경력 1-5년,합격보상금 100만원,https://www.wanted.co.kr/wd/346249
AI Engineer(Generative Model)(전문연구요원 가능),뷰런테크놀로지,신입,합격보상금 100만원,https://www.wanted.co.kr/wd/346829
Machine Learning Engineer (Vision & AI),큐픽스,경력 3-8년,합격보상금 100만원,https://www.wanted.co.kr/wd/346358
데이터 애널리스트(3년 이상),슈퍼센트,경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/344556
[전문연구요원 가능] AI Research Engineer,메디인테크,경력 1-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/334840
연구소 MLOps Engineer,이지케어텍,경력 2-15년,합격보상금 100만원,https://www.wanted.co.kr/wd/339367
커머스 솔루션 - 백엔드개발자 (Python/Node.js/Java) 5년 이상,바티에이아이,경력 5-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/341051
개발팀 매쓰플랫 DevOps Engineer (5년 이상),프리윌린,경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/337387
음성인식 AI모델 개발자,페르소나에이아이,경력 5-20년,합격보상금 100만원,https://www.wanted.co.kr/wd/346079
[대동에이아이랩] Vision AI 기술개발 (스마트파밍/ 정밀농업),대동애그테크,경력 4년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/346610
Data Scientist,앤서스랩코리아,경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/346615
AI 기반 하드웨어 연동 소프트웨어 개발자,월터워커,경력 3-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/332530
풀스택 개발자 (콘텐츠플랫폼 사업부/전략기획실),테크랩스,경력 1-6년,합격보상금 100만원,https://www.wanted.co.kr/wd/341494
데이터 기획 및 분석 (BI),해긴,경력 5-15년,합격보상금 100만원,https://www.wanted.co.kr/wd/343484
[제품 본부] AI Engineer - 3년 이상 (전문연구요원 가능),매드업,경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/294187
Voice AI Agent Engineer,네오사피엔스(타입캐스트),경력 3-8년,합격보상금 100만원,https://www.wanted.co.kr/wd/335403
클라우드 개발자 (백엔드/DevOps),파이오링크,경력 2-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/281795
"[Agentria] 백엔드 개발자(Backend Developer, 3년 이상)",제네시스랩,경력 3-20년,합격보상금 100만원,https://www.wanted.co.kr/wd/336807
[Gopax] DevOps Engineer,스트리미(Streami),경력 3-7년,합격보상금 100만원,https://www.wanted.co.kr/wd/340144
LLM Developer,씨어스테크놀로지,경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/339059
AI 국제 물류 스타트업 AI/ML 연구원,아로아랩스,경력 3-8년,합격보상금 100만원,https://www.wanted.co.kr/wd/327687
Robot Application Engineer (NVIDIA Isaac Sim),엔닷라이트,경력 1-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/339287
[America Tech] AI Software Engineer,노타(Nota),경력 3-8년,합격보상금 100만원,https://www.wanted.co.kr/wd/345611
AI Agent/LLM 엔지니어,시어스랩(Seerslab),경력 3-10년,합격보상금 100만원,https://www.wanted.co.kr/wd/343179
[전문연구요원 가능] 영상처리 개발자,메디인테크,경력 1-20년,합격보상금 100만원,https://www.wanted.co.kr/wd/334854
ML/DevOps Engineer,사이오닉에이아이,경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/312163
Senior MLOps Engineer(Smart Infra),뷰런테크놀로지,경력 5-12년,합격보상금 100만원,https://www.wanted.co.kr/wd/346827
Data Scientist/Research Engineer,식스티헤르츠,경력 7-14년,합격보상금 100만원,https://www.wanted.co.kr/wd/312470
AI Engineer (SAIP),에스투더블유(S2W),경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/337394
Back-end SWE,휴이노,경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr/wd/341967
